Image Size: 2048 x 1024
Processing time: 4205.2ms
Object #,Class Name,Confidence
1,building,0.9692176580429077
2,sidewalk,0.946359395980835
3,sidewalk,0.941922664642334
4,building,0.9358166456222534
5,car,0.9347230195999146
6,road,0.9341857433319092
7,sky,0.9301040172576904
8,car,0.9273614883422852
9,vegetation,0.9212808012962341
10,traffic sign,0.9184151887893677
11,sky,0.8749096393585205
12,sidewalk,0.864687442779541
13,road,0.8522570133209229
14,traffic sign,0.8361093401908875
15,road,0.8345620632171631
16,traffic sign,0.812685489654541
17,bus,0.7844024300575256
18,traffic sign,0.7805697321891785
19,train,0.780360221862793
20,building,0.7728464007377625
21,pole,0.7641000747680664
22,building,0.7611123919487
23,pole,0.7340103983879089
24,building,0.7066514492034912
25,pole,0.6166391968727112
26,pole,0.601850688457489
27,pole,0.5683335065841675
28,sidewalk,0.5556304454803467
29,traffic sign,0.5527306795120239
30,person,0.5339635014533997
31,person,0.4985678195953369
32,building,0.4984836280345917
33,building,0.4945835471153259
34,sky,0.4787449240684509
35,sky,0.46152397990226746
36,building,0.4611937999725342
37,pole,0.4600822925567627
38,person,0.4240334630012512
39,building,0.389758825302124
40,traffic sign,0.377882719039917
41,building,0.32653018832206726
42,traffic sign,0.3229061961174011
43,building,0.30701014399528503
44,person,0.30266332626342773
45,pole,0.28437820076942444
46,traffic light,0.26856058835983276
47,pole,0.25662562251091003
