Image Size: 2048 x 1024
Processing time: 4123.9ms
Object #,Class Name,Confidence
1,car,0.9652106165885925
2,building,0.9645462036132812
3,building,0.9615206718444824
4,building,0.9570905566215515
5,vegetation,0.9519882202148438
6,sky,0.9456800818443298
7,car,0.9450782537460327
8,car,0.942668616771698
9,road,0.9396528601646423
10,vegetation,0.914259135723114
11,vegetation,0.8993958830833435
12,car,0.8960045576095581
13,traffic sign,0.8815772533416748
14,sidewalk,0.8774495124816895
15,vegetation,0.8759541511535645
16,building,0.8757189512252808
17,rider,0.8734184503555298
18,pole,0.8683167099952698
19,vegetation,0.8541128635406494
20,fence,0.8109241127967834
21,bicycle,0.8095188736915588
22,fence,0.7812044620513916
23,building,0.766716480255127
24,building,0.7660011649131775
25,pole,0.7567243576049805
26,pole,0.6911143064498901
27,car,0.6544378399848938
28,building,0.651970386505127
29,sidewalk,0.6371084451675415
30,pole,0.6233806610107422
31,pole,0.6225157976150513
32,fence,0.5911111831665039
33,fence,0.5498180985450745
34,rider,0.44595053791999817
35,pole,0.4278600513935089
36,building,0.40679454803466797
37,building,0.37935078144073486
38,pole,0.3727731704711914
39,building,0.36608806252479553
40,pole,0.35648056864738464
41,fence,0.3414120078086853
42,pole,0.2919774353504181
43,vegetation,0.2874700129032135
44,building,0.27603474259376526
