Image Size: 2048 x 1024
Processing time: 7244.3ms
Object #,Class Name,Confidence
1,vegetation,0.966392993927002
2,road,0.9554505944252014
3,sky,0.9421584010124207
4,vegetation,0.9420924782752991
5,car,0.9076148867607117
6,building,0.9073367118835449
7,terrain,0.9024467468261719
8,car,0.8958995938301086
9,traffic sign,0.8765782713890076
10,building,0.8749179244041443
11,car,0.8731681108474731
12,building,0.8557481169700623
13,terrain,0.8548192381858826
14,traffic light,0.848456084728241
15,building,0.8443704843521118
16,person,0.8405003547668457
17,traffic light,0.8042495250701904
18,traffic light,0.766973614692688
19,person,0.7647433876991272
20,road,0.7475772500038147
21,building,0.7383508682250977
22,vegetation,0.7284043431282043
23,pole,0.7180440425872803
24,vegetation,0.7003350853919983
25,terrain,0.656777024269104
26,traffic light,0.6480522751808167
27,terrain,0.6349169611930847
28,sky,0.60303795337677
29,pole,0.5882293581962585
30,pole,0.5873716473579407
31,traffic light,0.5338101983070374
32,traffic sign,0.5067391991615295
33,pole,0.48266464471817017
34,traffic sign,0.47986334562301636
35,traffic sign,0.4776443541049957
36,pole,0.4689846932888031
37,road,0.46579062938690186
38,road,0.45684635639190674
39,pole,0.4522278606891632
40,building,0.4379040002822876
41,terrain,0.43594396114349365
42,traffic light,0.4296515882015228
43,building,0.4156322181224823
44,building,0.38797447085380554
45,sidewalk,0.3868503272533417
46,wall,0.3618931472301483
47,building,0.3492988049983978
48,pole,0.34824004769325256
49,building,0.3402438759803772
50,pole,0.33300331234931946
51,wall,0.3285982310771942
52,building,0.3279656767845154
53,traffic sign,0.31575554609298706
54,pole,0.31381291151046753
55,building,0.3130970597267151
56,traffic sign,0.2970113456249237
57,wall,0.29459118843078613
58,pole,0.29401788115501404
59,traffic sign,0.2935723662376404
60,pole,0.2854546308517456
61,sidewalk,0.28345102071762085
62,traffic light,0.2719114422798157
63,traffic sign,0.26994216442108154
64,pole,0.25899311900138855
65,pole,0.2530832290649414
66,traffic light,0.2513744533061981
67,pole,0.25040388107299805
